research_question,templated_question,EC1,EC2,EC3,EC4,EC5,PC1,PC2
"What are the common framing strategies used in Bulgarian partisan pro/con-COVID-19 Facebook groups, and how do they impact the perception of the issue in terms of policy, legality, economy, health & safety, and quality of life?","What are EC1 PC1 EC2, and how do EC3 impact EC4 of EC5 in terms of EC6, EC7, EC8, EC9 & EC10, and EC11 of EC12?",the common framing strategies,Bulgarian partisan pro/con-COVID-19 Facebook groups,they,the perception,the issue,used in,
"What is the performance of different neural architectures when explicitly modeling the internal structure of morphological tags in a neural sequence tagger, compared to CRF and simple neural multiclass baselines?","What is the performance of different neural PC1 when explicitly PC2 EC1 of EC2 in EC3, compared to EC4 and EC5?",the internal structure,morphological tags,a neural sequence tagger,CRF,simple neural multiclass baselines,architectures,modeling
"Can a multilingual model be trained effectively using either translations or comparable sentence pairs, and how does annotating the same set of images in multiple languages impact the performance via an additional caption-caption ranking objective?","Can EC1 be PC1 effectively using EC2 or EC3, and how does PC2 EC4 of EC5 in EC6 impact the performance via EC7?",a multilingual model,either translations,comparable sentence pairs,the same set,images,trained,annotating
"Can WinoMT, an automatic test suite for examining gender coreference and bias in machine translation, be effectively extended to handle Polish and Czech languages, and what impact would this have on reducing gender biases in translation?","Can PC1, EC2 for PC2 EC3 and EC4 in EC5, be effectively PC3 EC6, and what impact would PC5ve on PC4 EC7 in EC8?",WinoMT,an automatic test suite,gender coreference,bias,machine translation,EC1,examining
What is the impact of adding a further layer of constraints in the form of if-then rules to the Privacy Ontology (PrOnto) on the efficiency and effectiveness of the DAPRECO knowledge base (D-KB) when dealing with complex GDPR-related legal scenarios?,What is the impact of PC1 EC1 of EC2 in EC3 of if-then PC2 EC4 (EC5) on EC6 and EC7 of EC8 (EC9) when PC3 EC10?,a further layer,constraints,the form,the Privacy Ontology,PrOnto,adding,rules to
"What methods can be developed to improve the consistency of terminology translation in the medical domain, specifically for five language pairs: English to French, Chinese, Russian, Korean, and Czech to German?","What EC1 can be PC1 EC2 of EC3 in EC4, specifically for EC5: EC6 to EC7, EC8, Russian, Korean, and EC9 to EC10?",methods,the consistency,terminology translation,the medical domain,five language pairs,developed to improve,
"What evaluation metrics can be used to measure the accuracy and adequacy of pre-trained language models in predicting discourse connectives, understanding implicatures relating to connectives, and handling the temporal dynamics of connectives?","What evaluation metrics can be PC1 the accuracy and EC1 of EC2 in PC2 EC3, PC3PC5ng to EC5, and PC4 EC6 of EC7?",adequacy,pre-trained language models,discourse connectives,implicatures,connectives,used to measure,predicting
"How effective are general linguistic features in the automatic identification of conceptually-oral historical texts in German, and which specific features (e.g., pronoun frequency, verb-to-noun ratio) contribute significantly to this classification?","How effective are EC1 in EC2 of EC3 in EC4, and which EC5 (e.g., EC6, verb-to-EC7 ratio) PC1 significantly PC2?",general linguistic features,the automatic identification,conceptually-oral historical texts,German,specific features,contribute,to EC8
"How can open Large Language Models (LLMs) be utilized as synthetic data generators to improve the performance of Relation Extraction models for natural products relationships, and what is the performance of BioGPT-Large model in this context?","How can PC1 EC1 (EPC3ized as EC3 PC2 the performance of EC4 for EC5, and what is the performance of EC6 in EC7?",Large Language Models,LLMs,synthetic data generators,Relation Extraction models,natural products relationships,open,to improve
"What are the most effective techniques for generating artificial errors in Grammatical Error Correction (GEC) tasks, and how can they be used to improve the development and evaluation of GEC systems?","What are EC1 for PC1 EC2 in Grammatical Error Correction EC3) tasks, and how can EC4 be PC2 EC5 and EC6 of EC7?",the most effective techniques,artificial errors,(GEC,they,the development,generating,used to improve
How effective is the proposed sequence-labeling layer in a convolutional neural network (CNN) for generating interpretable heuristics at the token level for determining when predictions are less reliable?,How effective is the proposed sequence-PC1 layer in EC1 (EC2) for PC2 EC3 at EC4 for PC3 when EC5 are less EC6?,a convolutional neural network,CNN,interpretable heuristics,the token level,predictions,labeling,generating
How does the incorporation of context from sentences to the left and right of the target sentence influence the accuracy of a deep neural network-based classification model in identifying suicidal behavior in psychiatric electronic health records?,How does the incorporation of EC1 from EC2 to EC3 and EC4 of EC5 the accuracy of EC6 in identifying EC7 in EC8?,context,sentences,the left,right,the target sentence influence,,
"How does the performance of pre-trained Vision-Language models (VLMs) compare to that of pre-trained language models (PTLMs) in capturing object affordances, as measured by a comprehensive dataset of object affordances – Text2Afford?","How does the performance of EC1 (EC2) compare to that of EC3 (EC4) in PC1 EC5, as PC2 EC6 of EC7 – Text2Afford?",pre-trained Vision-Language models,VLMs,pre-trained language models,PTLMs,object affordances,capturing,measured by
"How effective is the TAB corpus in assessing the performance of text anonymization models compared to traditional de-identification methods, particularly in terms of concealing the identity of the person to be protected?","How effective is EC1 in PC1 the performPC4 compared to EC3, particularly in terms of PC2 EC4 of EC5 PC3 be PC3?",the TAB corpus,text anonymization models,traditional de-identification methods,the identity,the person,assessing,concealing
"What is the performance of various language models (Word2Vec, fastText, CamemBERT, FlauBERT, DrBERT, and CamemBERT-bio) in selecting semantically correct pictographs from French WordNets (WOLF and WoNeF) for medical translations?","What is the performance of EC1 (EC2, EC3, EC4, EC5, EC6, and EC7) in PC1 EC8 from EC9 (EC10 and EC11) for EC12?",various language models,Word2Vec,fastText,CamemBERT,FlauBERT,selecting,
"How does the performance of GPT-4 compare to the best systems in German-English and English-German translations, and what specific factors lead to its lower performance in English-Russian translations in terms of accuracy?","How does the performance of EC1 compare to EC2 in EC3 and EC4, and what EC5 PC1 its EC6 in EC7 in terms of EC8?",GPT-4,the best systems,German-English,English-German translations,specific factors,lead to,
"How does the performance of AutoMQM, when applied to PaLM-2 models, compare to simply prompting for scores in terms of accuracy and interpretability, with a focus on larger models?","How does the performance of EC1, wPC2d to EC2, PC1 PC3 simply PC3 EC3 in terms of EC4 and EC5, with EC6 on EC7?",AutoMQM,PaLM-2 models,scores,accuracy,interpretability,compare,hen applie
How do the real-valued node and edge attributes constructed using sophisticated normalization procedures in the Universal Decompositional Semantics (UDS) dataset affect the accuracy of semantic graph analysis?,How do EC1 and EC2 PC1 EC3 in the Universal Decompositional Semantics (EC4) dataset affect the accuracy of EC5?,the real-valued node,edge attributes,sophisticated normalization procedures,UDS,semantic graph analysis,constructed using,
"How does the joint learning method of combining part-of-speech tagging and language identification models, when applied to code-mixed social media text, influence the computational analysis of code-mixed language complexity?","How does EC1 of PC1 part-of-EC2 tagging and language identification models, when PC2 EC3, influence EC4 of EC5?",the joint learning method,speech,code-mixed social media text,the computational analysis,code-mixed language complexity,combining,applied to
